date,rollingaverage
2021-01-12,218020
2021-01-13,221256
2021-01-14,222709
2021-01-15,228645
2021-01-16,226533
2021-01-17,219981
2021-01-18,210097
2021-01-19,199897
2021-01-20,194856
2021-01-21,189236
2021-01-22,181302
2021-01-23,175450
2021-01-24,169309
2021-01-25,166832
2021-01-26,166807
2021-01-27,161776
2021-01-28,157637
2021-01-29,154237
2021-01-30,150195
2021-01-31,146642
2021-02-01,144749
2021-02-02,140630
2021-02-03,135341
2021-02-04,130569
2021-02-05,125431
2021-02-06,120536
2021-02-07,117197
2021-02-08,111131
2021-02-09,107612
